"year","month","day","mode","route","peak","numerator","denominator"
2023,4,24,"Bus","1","PEAK",310,405
2023,4,24,"Bus","86","OFF_PEAK",360,499
2023,4,24,"Bus","86","PEAK",224,295
2023,4,25,"Bus","1","OFF_PEAK",991,1411
2023,4,25,"Bus","1","PEAK",368,463
2023,4,25,"Bus","86","OFF_PEAK",341,499
2023,4,25,"Bus","86","PEAK",224,295
2023,4,26,"Bus","1","OFF_PEAK",1061,1424
2023,4,26,"Bus","1","PEAK",346,496
2023,4,26,"Bus","86","OFF_PEAK",295,491
2023,4,26,"Bus","86","PEAK",216,294
2023,4,27,"Bus","1","OFF_PEAK",723,1014
2023,4,27,"Bus","1","PEAK",273,396
2023,4,27,"Bus","86","OFF_PEAK",333,493
2023,4,27,"Bus","86","PEAK",165,280
2023,4,28,"Bus","1","OFF_PEAK",916,1262
2023,4,28,"Bus","1","PEAK",254,308
2023,4,28,"Bus","86","OFF_PEAK",255,465
2023,4,28,"Bus","86","PEAK",190,265
2023,4,29,"Bus","1","OFF_PEAK",1161,1629
2023,4,29,"Bus","86","OFF_PEAK",335,528
2023,4,30,"Bus","1","OFF_PEAK",1037,1421
2023,4,30,"Bus","86","OFF_PEAK",246,364
2023,5,1,"Bus","1","OFF_PEAK",829,1184
2023,5,1,"Bus","1","PEAK",180,248
2023,5,1,"Bus","86","OFF_PEAK",360,497
2023,5,1,"Bus","86","PEAK",209,292
2023,5,2,"Bus","1","OFF_PEAK",1111,1443
2023,5,2,"Bus","1","PEAK",345,472
2023,5,2,"Bus","86","OFF_PEAK",358,497
2023,5,2,"Bus","86","PEAK",208,298
2023,5,3,"Bus","1","OFF_PEAK",825,1144
2023,5,3,"Bus","1","PEAK",275,383
2023,5,3,"Bus","86","OFF_PEAK",311,491
2023,5,3,"Bus","86","PEAK",214,292
2023,5,4,"Bus","1","OFF_PEAK",1015,1335
2023,5,4,"Bus","1","PEAK",296,389
2023,5,4,"Bus","86","OFF_PEAK",324,484
2023,5,4,"Bus","86","PEAK",182,269
2023,5,5,"Bus","1","OFF_PEAK",762,1117
2023,5,5,"Bus","1","PEAK",304,394
2023,5,5,"Bus","86","OFF_PEAK",320,497
2023,5,5,"Bus","86","PEAK",220,292
2023,5,6,"Bus","1","OFF_PEAK",906,1282
2023,5,6,"Bus","86","OFF_PEAK",306,532
2023,5,7,"Bus","1","OFF_PEAK",903,1217
2023,5,7,"Bus","86","OFF_PEAK",106,361
2023,5,8,"Bus","1","OFF_PEAK",981,1379
2023,5,8,"Bus","1","PEAK",302,415
2023,5,8,"Bus","86","OFF_PEAK",329,476
2023,5,8,"Bus","86","PEAK",192,279
2023,5,9,"Bus","1","OFF_PEAK",631,873
2023,5,9,"Bus","1","PEAK",185,262
2023,5,9,"Bus","86","OFF_PEAK",320,500
2023,5,9,"Bus","86","PEAK",213,298
2023,5,10,"Bus","1","OFF_PEAK",886,1201
2023,5,10,"Bus","1","PEAK",265,368
2023,5,10,"Bus","86","OFF_PEAK",312,497
2023,5,10,"Bus","86","PEAK",210,295
2023,5,11,"Bus","1","OFF_PEAK",920,1232
2023,5,11,"Bus","1","PEAK",294,398
2023,5,11,"Bus","86","OFF_PEAK",290,499
2023,5,11,"Bus","86","PEAK",181,298
2023,5,12,"Bus","1","OFF_PEAK",846,1143
2023,5,12,"Bus","1","PEAK",269,344
2023,5,12,"Bus","86","OFF_PEAK",312,497
2023,5,12,"Bus","86","PEAK",199,294
2023,5,13,"Bus","1","OFF_PEAK",906,1310
2023,5,13,"Bus","86","OFF_PEAK",259,503
2023,5,14,"Bus","1","OFF_PEAK",666,930
2023,5,14,"Bus","86","OFF_PEAK",167,363
2023,5,15,"Bus","1","OFF_PEAK",1122,1469
2023,5,15,"Bus","1","PEAK",323,414
2023,5,15,"Bus","86","OFF_PEAK",349,476
2023,5,15,"Bus","86","PEAK",192,263
2023,5,16,"Bus","1","OFF_PEAK",967,1272
2023,5,16,"Bus","1","PEAK",301,390
2023,5,16,"Bus","86","OFF_PEAK",334,500
2023,5,16,"Bus","86","PEAK",210,298
2023,5,17,"Bus","1","OFF_PEAK",1031,1423
2023,5,17,"Bus","1","PEAK",324,435
2023,5,17,"Bus","86","OFF_PEAK",264,471
2023,5,17,"Bus","86","PEAK",173,252
2023,5,18,"Bus","1","OFF_PEAK",1003,1319
2023,5,18,"Bus","1","PEAK",288,421
2023,5,18,"Bus","86","OFF_PEAK",292,489
2023,5,18,"Bus","86","PEAK",192,295
2023,5,19,"Bus","1","OFF_PEAK",911,1256
