"year","month","day","mode","route","peak","numerator","denominator"
2023,4,4,"Rail","Red","OFF_PEAK",108922.174962168,125159.330361506
2023,4,4,"Rail","Red","PEAK",103609.838340195,115720.907742929
2023,4,5,"Rail","Green-D","OFF_PEAK",19230.115215924,24222.621712977
2023,4,5,"Rail","Green-D","PEAK",13487.51412561,17167.311147419
2023,4,5,"Rail","Red","OFF_PEAK",109317.8703429,123604.410627765
2023,4,5,"Rail","Red","PEAK",103296.057703076,114373.617350393
2023,4,6,"Rail","Green-D","OFF_PEAK",19483.518200354,24204.934532874
2023,4,6,"Rail","Green-D","PEAK",14220.879861755,17623.274409949
2023,4,6,"Rail","Red","OFF_PEAK",106707.590920972,124303.151740424
2023,4,6,"Rail","Red","PEAK",104028.384528127,113714.665857907
2023,4,7,"Rail","Green-D","OFF_PEAK",19980.578027875,24965.029962049
2023,4,7,"Rail","Green-D","PEAK",15284.185327146,18469.825938868
2023,4,7,"Rail","Red","OFF_PEAK",111028.287366421,127049.39715319
2023,4,7,"Rail","Red","PEAK",100223.073363044,114577.056115903
2023,4,8,"Rail","Green-D","OFF_PEAK",15674.937085012,20515.479775474
2023,4,8,"Rail","Red","OFF_PEAK",78047.805735004,87753.464689243
2023,4,9,"Rail","Green-D","OFF_PEAK",14836.045378588,18537.268439268
2023,4,9,"Rail","Red","OFF_PEAK",61690.99380241,66107.073212849
2023,4,10,"Rail","Green-D","OFF_PEAK",19860.790250427,24575.105423474
2023,4,10,"Rail","Green-D","PEAK",14217.966630121,17687.052606225
2023,4,10,"Rail","Red","OFF_PEAK",116843.072980845,124263.312573112
2023,4,10,"Rail","Red","PEAK",103169.12464984,110971.394851584
2023,4,11,"Rail","Green-D","OFF_PEAK",19309.653574221,24717.165555199
2023,4,11,"Rail","Green-D","PEAK",13738.254490083,17578.251288841
2023,4,11,"Rail","Red","OFF_PEAK",116097.160124873,124742.731812502
2023,4,11,"Rail","Red","PEAK",102022.642578264,110380.161435929
2023,4,12,"Rail","Green-D","OFF_PEAK",19863.375788969,25102.2242664
2023,4,12,"Rail","Green-D","PEAK",14447.970540074,17728.104824084
2023,4,12,"Rail","Red","OFF_PEAK",114901.217303503,126193.026109176
2023,4,12,"Rail","Red","PEAK",100521.69131028,110750.745967242
2023,4,13,"Rail","Green-D","OFF_PEAK",18771.464279809,24531.637464421
2023,4,13,"Rail","Green-D","PEAK",13666.982738466,16829.800378126
2023,4,13,"Rail","Red","OFF_PEAK",112017.91297055,124026.451330193
2023,4,13,"Rail","Red","PEAK",94285.824346663,107453.41929555
2023,4,14,"Rail","Green-D","OFF_PEAK",17779.766637559,24154.918478017
2023,4,14,"Rail","Green-D","PEAK",13701.515076588,17289.571698473
2023,4,14,"Rail","Red","OFF_PEAK",107030.282119815,123386.914279926
2023,4,14,"Rail","Red","PEAK",103736.536125631,114472.767404808
2023,4,15,"Rail","Green-D","OFF_PEAK",20633.973993231,26987.993667828
2023,4,15,"Rail","Red","OFF_PEAK",84847.391513402,91277.357178879
2023,4,16,"Rail","Green-D","OFF_PEAK",14921.959437458,18853.240942863
2023,4,16,"Rail","Red","OFF_PEAK",60696.952224404,66088.840461954
2023,4,17,"Rail","Green-D","OFF_PEAK",12447.639769664,16631.302658413
2023,4,17,"Rail","Green-D","PEAK",9006.950016183,12167.527964436
2023,4,17,"Rail","Red","OFF_PEAK",119152.558353302,127113.201049393
2023,4,17,"Rail","Red","PEAK",103966.419135498,112068.183681802
2023,4,18,"Rail","Green-D","OFF_PEAK",19118.398696021,23860.031575777
2023,4,18,"Rail","Green-D","PEAK",14137.977187259,17731.568659591
2023,4,18,"Rail","Red","OFF_PEAK",102405.305971341,113191.379837516
2023,4,18,"Rail","Red","PEAK",103937.525590825,111446.970746583
2023,4,19,"Rail","Green-D","OFF_PEAK",17629.439217843,23351.102297031
